complex_idx,baseline_imp,augmented_frozen_imp,augmented_relax_imp,frozen_shift,relax_shift
85,1.7502122e-18,1.14591415e-07,5.033388e-10,1.14591415e-07,5.033388e-10
86,3.528216e-07,7.99034e-08,6.0941844e-08,-2.729182e-07,-2.9187976e-07
87,0.001498667,3.7870508e-05,0.002457587,-0.0014607966,0.00095892
88,0.0,2.4205697e-08,2.5291007e-09,2.4205697e-08,2.5291007e-09
89,7.98434e-09,5.1441305e-08,9.177294e-09,4.3456964e-08,1.1929533e-09
90,2.518001e-10,1.1298616e-07,1.9318966e-08,1.12734355e-07,1.9067166e-08
91,1.456166e-10,8.0497806e-08,1.412193e-08,8.035219e-08,1.3976313e-08
92,1.2784898e-10,2.2007711e-08,6.956335e-09,2.1879861e-08,6.828486e-09
93,2.8621798e-09,5.985546e-08,0.0,5.699328e-08,-2.8621798e-09
94,3.032645e-09,3.5755868e-08,3.63531e-09,3.272322e-08,6.0266503e-10
95,0.003929175,0.010757246,0.0008018996,0.006828071,-0.0031272755
96,6.866265e-09,8.7943334e-08,1.4925146e-08,8.107707e-08,8.058881e-09
97,0.0,3.338242e-08,3.8514175e-10,3.338242e-08,3.8514175e-10
98,1.0976302e-09,2.9493798e-08,3.4170025e-10,2.8396167e-08,-7.5593e-10
