tf,arm,dna,entry,family,motif,tf_name,n_seeds,mean_pearsonr,mean_spearmanr,mean_auroc,mean_ic_weighted_pcc,mean_mae
ets1,baseline,frozen,7jm4_B_MA1419.1.jaspar.npz,IRF,MA1419.1,Interferon regulatory factor 4,5,0.7545048071723431,0.5860000000000001,0.9483796296296296,0.7503522963690357,0.5390854895114898
ets1,baseline,frozen,2ady_A_MA0106.3.jaspar.npz,p53-like,MA0106.3,Cellular tumor antigen p53,5,0.6857341311924392,0.458,0.9181027966742252,0.49634546989681594,0.5331419229507446
ets1,baseline,frozen,3q05_B_P53_HUMAN.H11MO.0.A.npz,p53-like,P53,Cellular tumor antigen p53,5,0.734359670553531,0.5429999999999999,0.9296296296296298,0.4565442783549402,0.5073695003986358
ets1,baseline,frozen,6fj5_C_P53_HUMAN.H11MO.0.A.npz,p53-like,P53,Cellular tumor antigen p53,5,0.3451388115773443,0.191,0.6558159722222223,0.1534102763214058,0.9582711219787597
ets1,baseline,frozen,6fj5_D_P53_HUMAN.H11MO.0.A.npz,p53-like,P53,Cellular tumor antigen p53,5,0.3451388061104808,0.191,0.6558159722222223,0.15341028331760914,0.958271062374115
ets1,baseline,frozen,6fj5_A_P53_HUMAN.H11MO.0.A.npz,p53-like,P53,Cellular tumor antigen p53,5,0.34513884067593603,0.191,0.6558159722222223,0.15341028030082,0.958271062374115
ets1,baseline,frozen,6vge_A_ERG_HUMAN.H11MO.0.A.npz,ETS,ERG,Transcriptional regulator ERG,5,0.47523247673202096,0.42393910995569406,0.8140833333333333,0.4354898153455056,0.7424092650413513
ets1,baseline,frozen,6vgg_A_ERG_HUMAN.H11MO.0.A.npz,ETS,ERG,Transcriptional regulator ERG,5,0.4384751735591433,0.39763306031162376,0.8170416666666667,0.3850428179903015,0.7774311780929566
ets1,baseline,frozen,6vg2_D_FLI1_HUMAN.H11MO.0.A.npz,ETS,FLI1,Friend leukemia integration 1 transcription factor,5,0.6780173087104534,0.4445539769731212,0.9277777777777778,0.544952046749117,0.474109822511673
ets1,baseline,frozen,6vg2_A_FLI1_HUMAN.H11MO.0.A.npz,ETS,FLI1,Friend leukemia integration 1 transcription factor,5,0.6896717917600957,0.4245539769731212,0.8925925925925927,0.5342990286786745,0.5104887127876282
ets1,baseline,frozen,6vg8_A_FLI1_HUMAN.H11MO.0.A.npz,ETS,FLI1,Friend leukemia integration 1 transcription factor,5,0.6164781423285604,0.5147342854844194,0.861111111111111,0.537376507276518,0.686442768573761
ets1,baseline,frozen,6lbi_L_FOXO1_HUMAN.H11MO.0.A.npz,Forkhead,FOXO1,Forkhead box protein O1,5,0.8051563575311917,0.4885714285714286,0.9826666666666666,0.5019440050496717,0.44059587121009824
ets1,baseline,frozen,6lbi_K_FOXO1_HUMAN.H11MO.0.A.npz,Forkhead,FOXO1,Forkhead box protein O1,5,0.8051563528235753,0.4885714285714286,0.9826666666666666,0.5019440140827751,0.44059587121009824
ets1,baseline,frozen,6lbi_D_FOXO1_HUMAN.H11MO.0.A.npz,Forkhead,FOXO1,Forkhead box protein O1,5,0.7949637194108525,0.4885714285714286,0.9880000000000001,0.4977111976725078,0.4504251182079315
ets1,baseline,frozen,3coa_C_FOXO1_HUMAN.H11MO.0.A.npz,Forkhead,FOXO1,Forkhead box protein O1,5,0.7216617643741691,0.44000000000000006,0.9546666666666667,0.5719653788748014,0.4629431009292603
ets1,baseline,frozen,6lbi_C_FOXO1_HUMAN.H11MO.0.A.npz,Forkhead,FOXO1,Forkhead box protein O1,5,0.7949637115611341,0.4885714285714286,0.9880000000000001,0.49771120090901466,0.45042511224746706
ets1,baseline,frozen,1pzu_H_NFAC2_HUMAN.H11MO.0.B.npz,Rel/NF-κB (RHD),NFAC2,"Nuclear factor of activated T-cells, cytoplasmic 2",5,0.7283784278241607,0.5554744957375038,0.9677083333333334,0.6185882443126902,0.5103779673576355
ets1,baseline,frozen,1pzu_L_MA0152.1.jaspar.npz,Rel/NF-κB (RHD),MA0152.1,"Nuclear factor of activated T-cells, cytoplasmic 2",5,0.903947426363205,0.6242000830620347,0.9989583333333334,0.6859630231277779,0.2963203489780426
ets1,baseline,frozen,5lty_K_CDX2_HUMAN.H11MO.0.A.npz,Homeodomain,CDX2,Homeobox protein CDX-2,5,0.4628238301110369,0.39344354837515666,0.7556423611111112,0.38599633719321336,0.6534777164459229
ets1,baseline,frozen,5lty_M_MA0465.2.jaspar.npz,Homeodomain,MA0465.2,Homeobox protein CDX-2,5,0.7162741410243324,0.6439999999999999,0.8480000000000001,0.539409096066154,0.5839659601449967
ets1,baseline,frozen,5vpf_B_JUND_HUMAN.H11MO.0.A.npz,bZIP,JUND,Protein fosB,5,0.6324993395143085,0.44218825963788166,0.799074074074074,0.5285259090210015,0.7388617932796478
ets1,baseline,frozen,5yef_B_MA1930.1.jaspar.npz,C2H2 zinc finger,MA1930.1,Transcriptional repressor CTCF,5,0.5646545426874783,0.5622222222222222,0.816871794871795,0.44204555504998505,0.5924346208572387
ets1,baseline,frozen,5und_A_MA1930.1.jaspar.npz,C2H2 zinc finger,MA1930.1,Transcriptional repressor CTCF,5,0.35492474474065777,0.3472,0.7145061728395061,0.4179019984979182,0.6298634529113769
ets1,baseline,frozen,5yef_J_CTCF_HUMAN.H11MO.0.A.npz,C2H2 zinc finger,CTCF,Transcriptional repressor CTCF,5,0.631565287328028,0.5678246102136218,0.8745370370370369,0.48389348905739765,0.6601832509040833
ets1,baseline,frozen,5und_B_MA1930.1.jaspar.npz,C2H2 zinc finger,MA1930.1,Transcriptional repressor CTCF,5,0.4403782893777648,0.36782608695652175,0.8022331154684096,0.47235197834468734,0.5768836259841919
ets1,baseline,frozen,5yef_G_MA1930.1.jaspar.npz,C2H2 zinc finger,MA1930.1,Transcriptional repressor CTCF,5,0.4724545900559557,0.5366666666666667,0.7708796844181459,0.39974137884960864,0.6839503169059753
ets1,baseline,frozen,2wty_B_MA0117.2.jaspar.npz,bZIP,MA0117.2,TRANSCRIPTION FACTOR MAFB,5,0.5024116444639566,0.42648851645144426,0.8580144557823128,0.487197082894097,0.7268315315246582
ets1,baseline,frozen,2wty_A_MA0117.2.jaspar.npz,bZIP,MA0117.2,TRANSCRIPTION FACTOR MAFB,5,0.5024116548963569,0.42648851645144426,0.8580144557823128,0.4871970957177578,0.7268315196037293
ets1,baseline,frozen,6x6e_B_MA0113.3.jaspar.npz,Nuclear receptor (Zn),MA0113.3,Glucocorticoid receptor,5,0.5022944216461231,0.4256052205756906,0.8980452674897119,0.5970006468607016,0.5978039264678955
ets1,baseline,frozen,6x6e_A_GCR_HUMAN.H11MO.0.A.npz,Nuclear receptor (Zn),GCR,Glucocorticoid receptor,5,0.5375998790205145,0.4234415184401123,0.9075000000000001,0.4043472228677477,0.5464650452136993
ets1,baseline,frozen,5emq_B_GCR_HUMAN.H11MO.0.A.npz,Nuclear receptor (Zn),GCR,Glucocorticoid receptor,5,0.6174423191323876,0.4836578886536702,0.9135,0.48453259938606974,0.49441554546356203
ets1,baseline,frozen,5emp_B_MA0113.3.jaspar.npz,Nuclear receptor (Zn),MA0113.3,Glucocorticoid receptor,5,0.6819488065410406,0.5406139985886872,0.9239711934156378,0.7079227830246834,0.5078153848648072
ets1,baseline,frozen,5emp_A_GCR_HUMAN.H11MO.0.A.npz,Nuclear receptor (Zn),GCR,Glucocorticoid receptor,5,0.579024877435683,0.43264721134012685,0.9233333333333335,0.4496233723022828,0.523704320192337
ets1,baseline,frozen,1le8_B_MA0328.2.jaspar.npz,Homeodomain,MA0328.2,HAP1,5,0.5968217281515535,0.5574710396381355,0.7917037037037038,0.38221188192855776,0.7687143802642822
ets1,baseline,frozen,6fbr_B_RXRA_HUMAN.H11MO.0.A.npz,Nuclear receptor (Zn),RXRA,Retinoic acid receptor RXR-alpha,5,0.6851985478165766,0.5466666666666666,0.9202916666666667,0.3485221457596877,0.6939448714256287
ets1,baseline,frozen,4cn3_D_RXRA_HUMAN.H11MO.0.A.npz,Nuclear receptor (Zn),RXRA,RETINOIC ACID RECEPTOR RXR-ALPHA,5,0.6743789032450878,0.5311111111111112,0.9287500000000002,0.33129574820020136,0.7136413335800171
ets1,baseline,frozen,4cn3_C_MA0065.1.jaspar.npz,Nuclear receptor (Zn),MA0065.1,RETINOIC ACID RECEPTOR RXR-ALPHA,5,0.6999067684186489,0.5936494448719374,0.9085034013605442,0.6348595266006223,0.5611697971820832
ets1,baseline,frozen,6fbq_A_MA0065.1.jaspar.npz,Nuclear receptor (Zn),MA0065.1,Retinoic acid receptor RXR-alpha,5,0.7118750810989045,0.6229187778937659,0.9200680272108844,0.6901698992184736,0.5312056064605712
ets1,baseline,frozen,1r0n_A_MA0115.1.jaspar.npz,Nuclear receptor (Zn),MA0115.1,Retinoic acid receptor RXR-alpha,5,0.4853045692201704,0.40268396414931884,0.8013888888888889,0.4967480296953524,0.8276284813880921
ets1,baseline,frozen,2erg_B_MA0324.1.jaspar.npz,Zn2Cys6 cluster,MA0324.1,Regulatory protein LEU3,5,0.6279223300260492,0.5785064848590628,0.8652305366591081,0.6481831162133026,0.6273640036582947
ets1,baseline,frozen,2erg_A_MA0324.1.jaspar.npz,Zn2Cys6 cluster,MA0324.1,Regulatory protein LEU3,5,0.6279223187733441,0.5785064848590628,0.8652305366591081,0.6481830797605044,0.6273640036582947
ets1,baseline,frozen,7oh9_K_MA0386.1.jaspar.npz,TBP / β-saddle,MA0386.1,Histone H3.2,5,0.3959682648011949,0.21428571428571427,0.963265306122449,0.27501017002298445,1.0962617516517639
ets1,baseline,frozen,4r2d_A_MA0162.4.jaspar.npz,C2H2 zinc finger,MA0162.4,Early growth response protein 1,5,0.5524843198759481,0.364,0.7289062499999999,0.5694712965442095,0.5838530480861663
ets1,baseline,frozen,1a1j_A_MA0162.1.jaspar.npz,C2H2 zinc finger,MA0162.1,PROTEIN (RADR ZIF268 ZINC FINGER PEPTIDE),5,0.5352860940736718,0.464102059304349,0.8148148148148149,0.5158150985197325,0.7188986539840698
ets1,baseline,frozen,4x9j_A_MA0162.4.jaspar.npz,C2H2 zinc finger,MA0162.4,Early growth response protein 1,5,0.5523145348345861,0.358,0.76640625,0.5545082867267651,0.5790087699890136
ets1,baseline,frozen,1a1i_A_MA0162.1.jaspar.npz,C2H2 zinc finger,MA0162.1,RADR ZIF268 ZINC FINGER PEPTIDE,5,0.6148699491721346,0.5026764078801622,0.7989795918367347,0.5618068442560287,0.6182465076446533
ets1,baseline,frozen,1a1g_A_MA0162.1.jaspar.npz,C2H2 zinc finger,MA0162.1,DSNR ZINC FINGER PEPTIDE,5,0.585304601380485,0.5105347997314647,0.825,0.5507855267835378,0.6616434097290039
ets1,baseline,frozen,1gu4_A_MA0466.3.jaspar.npz,bZIP,MA0466.3,CAAT/ENHANCER BINDING PROTEIN BETA,5,0.46479246973176486,0.3423440106468766,0.7874999999999999,0.43833829514842026,0.7570761322975159
ets1,baseline,frozen,1gu5_A_MA0466.3.jaspar.npz,bZIP,MA0466.3,CAAT/ENHANCER BINDING PROTEIN BETA,5,0.33256916681372484,0.21349288387498175,0.7046875,0.3550603422133054,0.932646632194519
ets1,baseline,frozen,2e42_A_CEBPB_HUMAN.H11MO.0.A.npz,bZIP,CEBPB,CCAAT/enhancer-binding protein beta,5,0.38672734178147616,0.32600711662493553,0.8578414351851851,0.5360450578239027,0.7487415671348572
ets1,baseline,frozen,6mg2_A_CEBPB_HUMAN.H11MO.0.A.npz,bZIP,CEBPB,CCAAT/enhancer-binding protein beta,5,0.48392473826798704,0.4281079841177882,0.8087384259259259,0.4861677730316183,0.7494383573532104
ets1,baseline,frozen,6mg3_A_CEBPB_HUMAN.H11MO.0.A.npz,bZIP,CEBPB,CCAAT/enhancer-binding protein beta,5,0.42297684543459163,0.3932221517661433,0.7964120370370371,0.3925636493344863,0.7740028738975525
ets1,baseline,frozen,4xrm_A_MEIS2_HUMAN.H11MO.0.B.npz,Homeodomain,MEIS2,Homeobox protein Meis2,5,0.7678997996321413,0.554777776283862,0.961574074074074,0.7308930497020057,0.4496113359928131
ets1,baseline,frozen,4xrm_B_MEIS2_HUMAN.H11MO.0.B.npz,Homeodomain,MEIS2,Homeobox protein Meis2,5,0.7678997701616026,0.554777776283862,0.961574074074074,0.7308930378249376,0.4496113359928131
ets1,baseline,frozen,5bng_B_MEIS2_HUMAN.H11MO.0.B.npz,Homeodomain,MEIS2,Homeobox protein Meis2,5,0.5814474023878574,0.5297983346207417,0.884375,0.5613187502607231,0.5862740516662598
ets1,baseline,frozen,5ke6_A_KLF4_MOUSE.H11MO.0.A.npz,C2H2 zinc finger,KLF4,Krueppel-like factor 4,5,0.8777539844275453,0.6,0.9606481481481481,0.5459997281190758,0.405352258682251
ets1,baseline,frozen,5ke8_A_MA0039.2.jaspar.npz,C2H2 zinc finger,MA0039.2,Krueppel-like factor 4,5,0.7948316524736583,0.54800978857942,0.9887755102040817,0.7526788331899043,0.37398849725723265
ets1,baseline,frozen,2wbu_A_KLF4_MOUSE.H11MO.0.A.npz,C2H2 zinc finger,KLF4,KRUEPPEL-LIKE FACTOR 4,5,0.7854625856096391,0.5375,0.913888888888889,0.5371415240703705,0.4736615359783173
ets1,baseline,frozen,5ke7_A_KLF4_MOUSE.H11MO.0.A.npz,C2H2 zinc finger,KLF4,Krueppel-like factor 4,5,0.8771157069291803,0.615,0.987037037037037,0.5477681416425918,0.3978318452835083
ets1,baseline,frozen,6u81_A_DUX4_HUMAN.H11MO.0.A.npz,Homeodomain,DUX4,Double homeobox protein 4,5,0.7263204644571358,0.5371914983915469,0.8850000000000001,0.6592300480528452,0.5526623725891113
ets1,baseline,frozen,6a8r_A_DUX4_HUMAN.H11MO.0.A.npz,Homeodomain,DUX4,Double homeobox protein 4,5,0.5733764435042394,0.4820260995189381,0.8565003779289493,0.5582964518909352,0.7549293160438537
ets1,baseline,frozen,5z2t_D_DUX4_HUMAN.H11MO.0.A.npz,Homeodomain,DUX4,DUX4,5,0.2491087668552064,0.2676901945739072,0.6455404383975812,0.2011111932421202,1.114393448829651
ets1,baseline,frozen,6dfy_C_MA0468.1.jaspar.npz,Homeodomain,MA0468.1,DUX4,5,0.5289854201499838,0.40946650860256095,0.8578189300411523,0.6249981417728475,0.8977457165718079
ets1,baseline,frozen,6dfy_D_DUX4_HUMAN.H11MO.0.A.npz,Homeodomain,DUX4,DUX4,5,0.5529115860327146,0.4215129324994433,0.8291005291005291,0.6204622301705822,0.9185104250907898
ets1,baseline,frozen,1vkx_B_NFKB1_MOUSE.H11MO.0.A.npz,Rel/NF-κB (RHD),NFKB1,PROTEIN (NF-KAPPA B P65 SUBUNIT),5,0.702773736807867,0.49557010852370426,0.9360000000000002,0.564113046240578,0.5241505265235901
ets1,baseline,frozen,3gut_D_MA0105.4.jaspar.npz,Rel/NF-κB (RHD),MA0105.4,Transcription factor p65,5,0.45184509233910247,0.3836363636363636,0.7952256944444445,0.3582504014240868,0.8553348183631897
ets1,baseline,frozen,2i9t_B_NFKB1_MOUSE.H11MO.0.A.npz,Rel/NF-κB (RHD),NFKB1,Transcription factor p65,5,0.8127770779677667,0.5280832755431992,0.9813333333333333,0.5083701120663634,0.5074169278144837
ets1,baseline,frozen,3gut_H_MA0105.4.jaspar.npz,Rel/NF-κB (RHD),MA0105.4,Transcription factor p65,5,0.46384631695903156,0.43454545454545457,0.7872106481481482,0.3191729286877402,0.867106294631958
ets1,baseline,frozen,6od3_E_ITF2_HUMAN.H11MO.0.C.npz,bHLH,ITF2,Transcription factor 4,5,0.5599231863726994,0.3771428571428571,0.8983333333333334,0.5396510959446776,0.5483190894126893
ets1,baseline,frozen,6od3_B_ITF2_HUMAN.H11MO.0.C.npz,bHLH,ITF2,Transcription factor 4,5,0.5379659142711066,0.38,0.9040000000000001,0.5331283217319523,0.5659755349159241
ets1,baseline,frozen,6od3_F_MA0830.2.jaspar.npz,bHLH,MA0830.2,Transcription factor 4,5,0.7614311344300707,0.55,0.9458333333333332,0.6334783008023631,0.45981961488723755
ets1,baseline,frozen,6od3_A_MA0830.2.jaspar.npz,bHLH,MA0830.2,Transcription factor 4,5,0.7835698787763249,0.5366666666666666,0.9552083333333332,0.6463516664993082,0.3939033329486847
ets1,baseline,frozen,7cli_B_MA0778.1.jaspar.npz,Rel/NF-κB (RHD),MA0778.1,Nuclear factor NF-kappa-B p52 subunit,5,0.6177854755823016,0.4705225416899282,0.8375,0.5702488871196495,0.6147118330001831
ets1,baseline,frozen,7vuq_B_NFKB2_HUMAN.H11MO.0.B.npz,Rel/NF-κB (RHD),NFKB2,Nuclear factor NF-kappa-B p52 subunit,5,0.7087538628976537,0.5184341683127249,0.8807291666666668,0.5771311107636169,0.511668986082077
ets1,baseline,frozen,7cli_A_NFKB2_HUMAN.H11MO.0.B.npz,Rel/NF-κB (RHD),NFKB2,Nuclear factor NF-kappa-B p52 subunit,5,0.5097418429837985,0.3773976073605351,0.8074652777777777,0.3750731529756813,0.8113484025001526
ets1,baseline,frozen,7vuq_A_NFKB2_HUMAN.H11MO.0.B.npz,Rel/NF-κB (RHD),NFKB2,Nuclear factor NF-kappa-B p52 subunit,5,0.7087538816833827,0.5184341683127249,0.8807291666666668,0.5771311148391676,0.5116689622402191
ets1,baseline,frozen,4l0z_A_RUNX1_MOUSE.H11MO.0.A.npz,Runt,RUNX1,RUNX1,5,0.6814128686412004,0.5253781183844713,0.9477777777777778,0.5288664890889982,0.552461051940918
ets1,baseline,frozen,3wtu_A_RUNX1_MOUSE.H11MO.0.A.npz,Runt,RUNX1,Runt-related transcription factor 1,5,0.6585412516607902,0.4720667300836294,0.9404444444444444,0.541797941877919,0.5861705064773559
ets1,baseline,frozen,1hjb_F_RUNX1_MOUSE.H11MO.0.A.npz,Runt,RUNX1,CCAAT/ENHANCER BINDING PROTEIN BETA,5,0.6928596244788625,0.5216275248530505,0.9084999999999999,0.6201078955847956,0.4975412845611572
ets1,baseline,frozen,3wts_F_RUNX1_MOUSE.H11MO.0.A.npz,Runt,RUNX1,Runt-related transcription factor 1,5,0.5900634241945226,0.4595667300836294,0.914,0.4928108476904237,0.6286879003047943
ets1,baseline,frozen,3wtw_F_RUNX1_MOUSE.H11MO.0.A.npz,Runt,RUNX1,Runt-related transcription factor 1,5,0.6245787217805627,0.4824724242340503,0.9291111111111112,0.49933482638659515,0.592876422405243
ets1,baseline,frozen,5kl4_A_WT1_HUMAN.H11MO.0.C.npz,C2H2 zinc finger,WT1,Wilms tumor protein,5,0.6635458560705754,0.4066666666666666,0.87109375,0.5105006904467565,0.5798086643218994
ets1,baseline,frozen,4r2p_A_WT1_HUMAN.H11MO.0.C.npz,C2H2 zinc finger,WT1,"Wilms tumor protein, isoform 4/CRA_a",5,0.747948250584563,0.4955555555555556,0.88359375,0.556360699468887,0.5008317172527313
ets1,baseline,frozen,5kl4_D_WT1_HUMAN.H11MO.0.C.npz,C2H2 zinc finger,WT1,Wilms tumor protein,5,0.6580607658740417,0.4022222222222222,0.8479166666666667,0.4924341583350767,0.5801566958427429
