PDB_ID,Chain,PWM_ID,UniProt_ID,TF_Class,TF_Family,Pfam_ID,Pfam_Name
6mzm,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7edx,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7ega,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7eg7,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
6a57,A,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
6jnl,A,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
6jnn,G,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
6jnn,A,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
6jnm,A,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
6jnn,B,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
6jnn,N,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
6jnm,B,MA1415.1.jaspar,Q9STM3,C2H2 zinc finger factors,Jumonji,PF02373|PF02375,JmjC|JmjN
2oeh,A,ARI5B_HUMAN.H11MO.0.C,ARI5B_HUMAN,Unknown,Unknown,PF01388,ARID
1am9,B,MA0829.2.jaspar,P36956,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,PF00010,HLH
1am9,B,SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN,Unknown,Unknown,PF00010,HLH
1am9,D,MA0829.2.jaspar,P36956,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,PF00010,HLH
1am9,D,SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN,Unknown,Unknown,PF00010,HLH
1am9,C,MA0829.2.jaspar,P36956,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,PF00010,HLH
1am9,C,SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN,Unknown,Unknown,PF00010,HLH
1am9,A,MA0829.2.jaspar,P36956,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,PF00010,HLH
1am9,A,SRBP1_HUMAN.H11MO.0.A,SRBP1_HUMAN,Unknown,Unknown,PF00010,HLH
1a66,A,NFAC1_HUMAN.H11MO.0.B,NFAC1_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
6ne3,W,SMCA5_HUMAN.H11MO.0.C,SMCA5_HUMAN,Unknown,Unknown,PF09110|PF00271|PF09111|PF00176,HAND|Helicase_C|SLIDE|SNF2-rel_dom
4tnt,B,MA0727.1.jaspar,P08235,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),PF00104|PF00105,Hormone_recep|zf-C4
4tnt,A,MA0727.1.jaspar,P08235,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors (NR3),PF00104|PF00105,Hormone_recep|zf-C4
1zme,C,MA0358.1.jaspar,P25502,C6 zinc cluster factors,,PF04082|PF00172,Fungal_trans|Zn_clus
1zme,D,MA0358.1.jaspar,P25502,C6 zinc cluster factors,,PF04082|PF00172,Fungal_trans|Zn_clus
1dp7,P,RFX1_HUMAN.H11MO.0.B,RFX1_HUMAN,Unknown,Unknown,PF25340|PF04589|PF02257,BCD_RFX|RFX1_trans_act|RFX_DNA_binding
3gut,F,NFKB1_HUMAN.H11MO.1.B,NFKB1_HUMAN,Unknown,Unknown,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
3gut,F,MA0105.4.jaspar,P19838,Rel homology region (RHR) factors,NF-kappaB-related factors,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
3gut,B,NFKB1_HUMAN.H11MO.1.B,NFKB1_HUMAN,Unknown,Unknown,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
3gut,B,MA0105.4.jaspar,P19838,Rel homology region (RHR) factors,NF-kappaB-related factors,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
3gut,H,NFKB1_HUMAN.H11MO.1.B,NFKB1_HUMAN,Unknown,Unknown,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
3gut,H,MA0105.4.jaspar,P19838,Rel homology region (RHR) factors,NF-kappaB-related factors,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
3gut,D,NFKB1_HUMAN.H11MO.1.B,NFKB1_HUMAN,Unknown,Unknown,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
3gut,D,MA0105.4.jaspar,P19838,Rel homology region (RHR) factors,NF-kappaB-related factors,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
1svc,P,NFKB1_HUMAN.H11MO.1.B,NFKB1_HUMAN,Unknown,Unknown,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
1svc,P,MA0105.4.jaspar,P19838,Rel homology region (RHR) factors,NF-kappaB-related factors,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
2o61,B,NFKB1_HUMAN.H11MO.1.B,NFKB1_HUMAN,Unknown,Unknown,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
2o61,B,MA0105.4.jaspar,P19838,Rel homology region (RHR) factors,NF-kappaB-related factors,PF12796|PF00531|PF16179|PF00554,Ank_2|Death|RHD_dimer|RHD_DNA_bind
1le9,B,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1vkx,B,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1le9,F,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1lei,B,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1le5,B,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1nfk,B,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
2v2t,B,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1nfk,A,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
2i9t,B,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1le5,F,NFKB1_MOUSE.H11MO.0.A,NFKB1_MOUSE,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
5cc0,B,PRGR_HUMAN.H11MO.0.A,PRGR_HUMAN,Unknown,Unknown,PF00104|PF02161|PF00105,Hormone_recep|Prog_receptor|zf-C4
2c7a,B,PRGR_HUMAN.H11MO.0.A,PRGR_HUMAN,Unknown,Unknown,PF00104|PF02161|PF00105,Hormone_recep|Prog_receptor|zf-C4
2c7a,A,PRGR_HUMAN.H11MO.0.A,PRGR_HUMAN,Unknown,Unknown,PF00104|PF02161|PF00105,Hormone_recep|Prog_receptor|zf-C4
5cc0,A,PRGR_HUMAN.H11MO.0.A,PRGR_HUMAN,Unknown,Unknown,PF00104|PF02161|PF00105,Hormone_recep|Prog_receptor|zf-C4
1owr,N,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1owr,N,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
3qrf,M,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
3qrf,M,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,M,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,M,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2as5,M,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2as5,M,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2o93,L,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2o93,L,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2as5,N,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2as5,N,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
3qrf,N,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
3qrf,N,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,B,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,B,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1owr,M,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1owr,M,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,D,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,D,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,I,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,I,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2o93,O,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2o93,O,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1s9k,C,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1s9k,C,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,L,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,L,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,H,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1pzu,H,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2o93,M,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
2o93,M,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1owr,Q,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1owr,Q,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1a02,N,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1a02,N,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,L,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,L,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,M,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,M,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,N,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,N,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,O,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1p7h,O,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1owr,P,MA0152.1.jaspar,Q60591,Rel homology region (RHR) factors,NFAT-related factors,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
1owr,P,NFAC2_HUMAN.H11MO.0.B,NFAC2_HUMAN,Unknown,Unknown,PF16179|PF00554,RHD_dimer|RHD_DNA_bind
7cli,A,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7cli,A,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7w7l,A,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7w7l,A,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1a3q,B,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1a3q,B,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vup,B,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vup,B,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
5zmc,A,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
5zmc,A,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vup,A,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vup,A,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vuq,A,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vuq,A,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
3do7,B,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
3do7,B,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1a3q,A,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
1a3q,A,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vuq,B,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7vuq,B,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7cli,B,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7cli,B,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7w7l,B,NFKB2_HUMAN.H11MO.0.B,NFKB2_HUMAN,Unknown,Unknown,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
7w7l,B,MA0778.1.jaspar,Q00653,Rel homology region (RHR) factors,NF-kappaB-related factors,PF00023|PF12796|PF00531|PF16179|PF00554,Ank|Ank_2|Death|RHD_dimer|RHD_DNA_bind
5eh2,E,MA1723.1.jaspar,Q9NQV7,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,PF01352|PF21549|PF09514|PF00096|PF21225,KRAB|PRDM2_PR|SSXRD|zf-C2H2|zf-C2H2_5
5egb,A,MA1723.1.jaspar,Q9NQV7,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,PF01352|PF21549|PF09514|PF00096|PF21225,KRAB|PRDM2_PR|SSXRD|zf-C2H2|zf-C2H2_5
5ei9,F,MA1723.1.jaspar,Q9NQV7,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,PF01352|PF21549|PF09514|PF00096|PF21225,KRAB|PRDM2_PR|SSXRD|zf-C2H2|zf-C2H2_5
5eh2,F,MA1723.1.jaspar,Q9NQV7,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,PF01352|PF21549|PF09514|PF00096|PF21225,KRAB|PRDM2_PR|SSXRD|zf-C2H2|zf-C2H2_5
5ei9,E,MA1723.1.jaspar,Q9NQV7,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,PF01352|PF21549|PF09514|PF00096|PF21225,KRAB|PRDM2_PR|SSXRD|zf-C2H2|zf-C2H2_5
2er8,B,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
2er8,D,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
2erg,A,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
2er8,C,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
2er8,A,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
2ere,A,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
2ere,B,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
2erg,B,MA0324.1.jaspar,P08638,C6 zinc cluster factors,,PF00172,Zn_clus
6kw4,K,MA0374.1.jaspar,Q06639,C6 zinc cluster factors,,PF00172,Zn_clus
6kw5,K,MA0374.1.jaspar,Q06639,C6 zinc cluster factors,,PF00172,Zn_clus
6kw3,K,MA0374.1.jaspar,Q06639,C6 zinc cluster factors,,PF00172,Zn_clus
6v92,G,MA0374.1.jaspar,Q06639,C6 zinc cluster factors,,PF00172,Zn_clus
6kw5,C,MA0375.1.jaspar,P38781,C6 zinc cluster factors,,PF00172,Zn_clus
6v92,S,MA0375.1.jaspar,P38781,C6 zinc cluster factors,,PF00172,Zn_clus
6kw4,C,MA0375.1.jaspar,P38781,C6 zinc cluster factors,,PF00172,Zn_clus
6kw3,C,MA0375.1.jaspar,P38781,C6 zinc cluster factors,,PF00172,Zn_clus
1d66,B,MA0299.1.jaspar,P04386,C6 zinc cluster factors,,PF04082|PF03902|PF00172,Fungal_trans|Gal4_dimer|Zn_clus
3coq,A,MA0299.1.jaspar,P04386,C6 zinc cluster factors,,PF04082|PF03902|PF00172,Fungal_trans|Gal4_dimer|Zn_clus
3coq,B,MA0299.1.jaspar,P04386,C6 zinc cluster factors,,PF04082|PF03902|PF00172,Fungal_trans|Gal4_dimer|Zn_clus
1d66,A,MA0299.1.jaspar,P04386,C6 zinc cluster factors,,PF04082|PF03902|PF00172,Fungal_trans|Gal4_dimer|Zn_clus
4zpk,B,EPAS1_MOUSE.H11MO.0.C,EPAS1_MOUSE,Unknown,Unknown,PF23171|PF11413|PF08778|PF00989|PF14598,bHLH_HIF1A|HIF-1|HIF-1a_CTAD|PAS|PAS_11
4zpr,B,HIF1A_MOUSE.H11MO.0.C,HIF1A_MOUSE,Unknown,Unknown,PF23171|PF11413|PF08778|PF00989|PF08447,bHLH_HIF1A|HIF-1|HIF-1a_CTAD|PAS|PAS_3
4yo2,A,MA0865.2.jaspar,A0AVK6,Fork head/winged helix factors,E2F,PF02319,WHD_E2F_TDP
4h10,B,CLOCK_HUMAN.H11MO.0.C,CLOCK_HUMAN,Unknown,Unknown,PF00010|PF00989|PF14598,HLH|PAS|PAS_11
4h10,B,MA0819.2.jaspar,O15516,Basic helix-loop-helix factors (bHLH),PAS domain factors,PF00010|PF00989|PF14598,HLH|PAS|PAS_11
1bf5,A,STAT1_HUMAN.H11MO.0.A,STAT1_HUMAN,Unknown,Unknown,PF00017|PF12162|PF01017|PF02864|PF02865|PF21354,SH2|STAT1_TAZ2bind|STAT_alpha|STAT_bind|STAT_int|STAT_linker
