pilot,pdb,source,model,seed,sample,ca_rmsd,n_ca
foxa,1vtn,af3,seed-2_sample-4,2,4,1.1901,102
lef1,2lef,af3,seed-1_sample-0,1,0,1.1161,86
lef1,2lef,af3,seed-1_sample-1,1,1,1.3223,86
lef1,2lef,af3,seed-1_sample-2,1,2,1.0054,86
lef1,2lef,af3,seed-1_sample-3,1,3,1.0753,86
lef1,2lef,af3,seed-1_sample-4,1,4,1.0862,86
lef1,2lef,af3,seed-2_sample-0,2,0,1.2781,86
lef1,2lef,af3,seed-2_sample-1,2,1,1.1308,86
lef1,2lef,af3,seed-2_sample-2,2,2,0.9048,86
lef1,2lef,af3,seed-2_sample-3,2,3,1.0772,86
lef1,2lef,af3,seed-2_sample-4,2,4,1.1064,86
csl,3brg,af3,seed-1_sample-0,1,0,1.2042,414
csl,3brg,af3,seed-1_sample-1,1,1,1.205,414
csl,3brg,af3,seed-1_sample-2,1,2,1.1552,414
csl,3brg,af3,seed-1_sample-3,1,3,1.0981,414
csl,3brg,af3,seed-1_sample-4,1,4,1.1512,414
csl,3brg,af3,seed-2_sample-0,2,0,1.0569,414
csl,3brg,af3,seed-2_sample-1,2,1,1.1477,414
csl,3brg,af3,seed-2_sample-2,2,2,1.0809,414
csl,3brg,af3,seed-2_sample-3,2,3,1.3061,414
csl,3brg,af3,seed-2_sample-4,2,4,1.137,414
err,1lo1,af3,seed-1_sample-0,1,0,0.834,90
err,1lo1,af3,seed-1_sample-1,1,1,1.0609,90
err,1lo1,af3,seed-1_sample-2,1,2,1.1011,90
err,1lo1,af3,seed-1_sample-3,1,3,1.0581,90
err,1lo1,af3,seed-1_sample-4,1,4,0.6319,90
err,1lo1,af3,seed-2_sample-0,2,0,1.0019,90
err,1lo1,af3,seed-2_sample-1,2,1,1.0247,90
err,1lo1,af3,seed-2_sample-2,2,2,1.0272,90
err,1lo1,af3,seed-2_sample-3,2,3,1.0843,90
err,1lo1,af3,seed-2_sample-4,2,4,0.931,90
nfat,1a66,af3,seed-1_sample-0,1,0,4.8355,178
nfat,1a66,af3,seed-1_sample-1,1,1,4.6354,178
nfat,1a66,af3,seed-1_sample-2,1,2,4.8294,178
nfat,1a66,af3,seed-1_sample-3,1,3,4.6919,178
nfat,1a66,af3,seed-1_sample-4,1,4,4.8508,178
nfat,1a66,af3,seed-2_sample-0,2,0,4.7906,178
nfat,1a66,af3,seed-2_sample-1,2,1,4.7007,178
nfat,1a66,af3,seed-2_sample-2,2,2,4.8437,178
nfat,1a66,af3,seed-2_sample-3,2,3,4.832,178
nfat,1a66,af3,seed-2_sample-4,2,4,4.8422,178
runx,1hjc,af3,seed-1_sample-0,1,0,0.3312,118
runx,1hjc,af3,seed-1_sample-1,1,1,0.3273,118
runx,1hjc,af3,seed-1_sample-2,1,2,0.333,118
runx,1hjc,af3,seed-1_sample-3,1,3,0.3223,118
runx,1hjc,af3,seed-1_sample-4,1,4,0.3193,118
runx,1hjc,af3,seed-2_sample-0,2,0,0.3073,118
runx,1hjc,af3,seed-2_sample-1,2,1,0.3394,118
runx,1hjc,af3,seed-2_sample-2,2,2,0.3122,118
runx,1hjc,af3,seed-2_sample-3,2,3,0.3137,118
runx,1hjc,af3,seed-2_sample-4,2,4,0.3149,118
dux4,5z6z,af3,seed-1_sample-0,1,0,14.8783,122
dux4,5z6z,af3,seed-1_sample-1,1,1,2.6104,122
dux4,5z6z,af3,seed-1_sample-2,1,2,2.7268,122
dux4,5z6z,af3,seed-1_sample-3,1,3,14.6076,122
dux4,5z6z,af3,seed-1_sample-4,1,4,15.3129,122
dux4,5z6z,af3,seed-2_sample-0,2,0,14.9608,122
dux4,5z6z,af3,seed-2_sample-1,2,1,3.3498,122
dux4,5z6z,af3,seed-2_sample-2,2,2,3.1557,122
dux4,5z6z,af3,seed-2_sample-3,2,3,2.7309,122
dux4,5z6z,af3,seed-2_sample-4,2,4,3.7332,122
hsf,5d5u,af3,seed-1_sample-0,1,0,0.9012,100
hsf,5d5u,af3,seed-1_sample-1,1,1,0.7982,100
hsf,5d5u,af3,seed-1_sample-2,1,2,0.9237,100
hsf,5d5u,af3,seed-1_sample-3,1,3,1.0715,100
hsf,5d5u,af3,seed-1_sample-4,1,4,0.8451,100
hsf,5d5u,af3,seed-2_sample-0,2,0,0.9332,100
hsf,5d5u,af3,seed-2_sample-1,2,1,0.9113,100
hsf,5d5u,af3,seed-2_sample-2,2,2,0.8416,100
hsf,5d5u,af3,seed-2_sample-3,2,3,0.8038,100
hsf,5d5u,af3,seed-2_sample-4,2,4,0.8565,100
irf,1if1,af3,seed-1_sample-0,1,0,3.9932,105
irf,1if1,af3,seed-1_sample-1,1,1,3.9891,105
irf,1if1,af3,seed-1_sample-2,1,2,3.9448,105
irf,1if1,af3,seed-1_sample-3,1,3,3.9772,105
irf,1if1,af3,seed-1_sample-4,1,4,4.0089,105
irf,1if1,af3,seed-2_sample-0,2,0,3.993,105
irf,1if1,af3,seed-2_sample-1,2,1,3.9878,105
irf,1if1,af3,seed-2_sample-2,2,2,3.9803,105
irf,1if1,af3,seed-2_sample-3,2,3,3.994,105
irf,1if1,af3,seed-2_sample-4,2,4,3.9816,105
