pilot,entry,pdb,motif,motif_src,tf_name,pfam,family,in_subset,family_src
tbp,2e42_A_CEBPB_HUMAN.H11MO.0.A.npz,2e42,CEBPB,HOCOMOCO,CCAAT/enhancer-binding protein beta,PF07716,bZIP,0,curated
tbp,6fj5_D_P53_HUMAN.H11MO.0.A.npz,6fj5,P53,HOCOMOCO,Cellular tumor antigen p53,PF00870,p53-like,0,curated
tbp,5yef_G_MA1930.1.jaspar.npz,5yef,MA1930.1,JASPAR,Transcriptional repressor CTCF,PF23611;PF00096,C2H2 zinc finger,0,curated
tbp,1srs_B_SRF_HUMAN.H11MO.0.A.npz,1srs,SRF,HOCOMOCO,PROTEIN (SERUM RESPONSE FACTOR (SRF)),PF00319,MADS-box,0,curated
tbp,1ram_B_TF65_MOUSE.H11MO.0.A.npz,1ram,TF65,HOCOMOCO,PROTEIN (TRANSCRIPTION FACTOR NF-KB P65),PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,5vpf_B_JUND_HUMAN.H11MO.0.A.npz,5vpf,JUND,HOCOMOCO,Protein fosB,PF00170,bZIP,0,curated
tbp,7cli_B_MA0778.1.jaspar.npz,7cli,MA0778.1,JASPAR,Nuclear factor NF-kappa-B p52 subunit,PF00554;PF16179,Rel/NF-κB (RHD),0,curated
tbp,3gut_D_MA0105.4.jaspar.npz,3gut,MA0105.4,JASPAR,Transcription factor p65,PF00554;PF16179,Rel/NF-κB (RHD),0,curated
tbp,2erg_B_MA0324.1.jaspar.npz,2erg,MA0324.1,JASPAR,Regulatory protein LEU3,PF00172,Zn2Cys6 cluster,0,intersection
tbp,1c7u_B_MEF2A_HUMAN.H11MO.0.A.npz,1c7u,MEF2A,HOCOMOCO,"MYOCYTE-SPECIFIC ENHANCER FACTOR 2A, C4 FORM",PF00319,MADS-box,0,curated
tbp,6dfy_D_DUX4_HUMAN.H11MO.0.A.npz,6dfy,DUX4,HOCOMOCO,DUX4,PF00046,Homeodomain,0,curated
tbp,2etw_A_MA0343.1.jaspar.npz,2etw,MA0343.1,JASPAR,NDT80 protein,PF05224,TBP / β-saddle,1,curated
tbp,6x6e_A_GCR_HUMAN.H11MO.0.A.npz,6x6e,GCR,HOCOMOCO,Glucocorticoid receptor,PF00105,Nuclear receptor (Zn),0,curated
tbp,3gut_E_MA0107.1.jaspar.npz,3gut,MA0107.1,JASPAR,Transcription factor p65,PF00554;PF16179,Rel/NF-κB (RHD),0,curated
tbp,1n6j_A_MA0660.1.jaspar.npz,1n6j,MA0660.1,JASPAR,Myocyte-specific enhancer factor 2B,PF00319,MADS-box,0,curated
tbp,3gut_H_MA0105.4.jaspar.npz,3gut,MA0105.4,JASPAR,Transcription factor p65,PF00554;PF16179,Rel/NF-κB (RHD),0,curated
tbp,6lbi_L_FOXO1_HUMAN.H11MO.0.A.npz,6lbi,FOXO1,HOCOMOCO,Forkhead box protein O1,PF00250,Forkhead,0,curated
tbp,6wqu_C_SUH_MOUSE.H11MO.0.A.npz,6wqu,SUH,HOCOMOCO,Recombining binding protein suppressor of hairless,PF20144;PF09270;PF09271,CSL/RBPJ,0,curated
tbp,4x9j_A_MA0162.4.jaspar.npz,4x9j,MA0162.4,JASPAR,Early growth response protein 1,PF00096,C2H2 zinc finger,0,curated
tbp,6dks_C_SUH_MOUSE.H11MO.0.A.npz,6dks,SUH,HOCOMOCO,Recombining binding protein suppressor of hairless,PF20144;PF09271;PF09270,CSL/RBPJ,0,curated
tbp,6fbr_B_RXRA_HUMAN.H11MO.0.A.npz,6fbr,RXRA,HOCOMOCO,Retinoic acid receptor RXR-alpha,PF00105,Nuclear receptor (Zn),0,curated
tbp,6x6e_B_MA0113.3.jaspar.npz,6x6e,MA0113.3,JASPAR,Glucocorticoid receptor,PF00105,Nuclear receptor (Zn),0,curated
tbp,3wtw_F_RUNX1_MOUSE.H11MO.0.A.npz,3wtw,RUNX1,HOCOMOCO,Runt-related transcription factor 1,PF00853,Runt,0,curated
tbp,7jm4_H_MA1419.1.jaspar.npz,7jm4,MA1419.1,JASPAR,Interferon regulatory factor 4,PF00605,IRF,0,intersection
tbp,7vuq_B_NFKB2_HUMAN.H11MO.0.B.npz,7vuq,NFKB2,HOCOMOCO,Nuclear factor NF-kappa-B p52 subunit,PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,6mg3_A_CEBPB_HUMAN.H11MO.0.A.npz,6mg3,CEBPB,HOCOMOCO,CCAAT/enhancer-binding protein beta,PF07716,bZIP,0,curated
tbp,4f6n_A_MA0527.1.jaspar.npz,4f6n,MA0527.1,JASPAR,CTCF,PF00096,C2H2 zinc finger,0,curated
tbp,6dfy_C_MA0468.1.jaspar.npz,6dfy,MA0468.1,JASPAR,DUX4,PF00046,Homeodomain,0,curated
tbp,7dcj_A_HSF1_HUMAN.H11MO.0.A.npz,7dcj,HSF1,HOCOMOCO,Heat shock factor protein 1,PF00447,HSF,0,curated
tbp,6od3_B_ITF2_HUMAN.H11MO.0.C.npz,6od3,ITF2,HOCOMOCO,Transcription factor 4,PF00010,bHLH,0,curated
tbp,3wts_F_RUNX1_MOUSE.H11MO.0.A.npz,3wts,RUNX1,HOCOMOCO,Runt-related transcription factor 1,PF00853,Runt,0,curated
tbp,5ke7_A_KLF4_MOUSE.H11MO.0.A.npz,5ke7,KLF4,HOCOMOCO,Krueppel-like factor 4,PF00096,C2H2 zinc finger,0,curated
tbp,7dcj_B_MA0486.2.jaspar.npz,7dcj,MA0486.2,JASPAR,Heat shock factor protein 1,PF00447,HSF,0,curated
tbp,5emq_B_GCR_HUMAN.H11MO.0.A.npz,5emq,GCR,HOCOMOCO,Glucocorticoid receptor,PF00105,Nuclear receptor (Zn),0,curated
tbp,1n6j_B_MEF2B_HUMAN.H11MO.0.A.npz,1n6j,MEF2B,HOCOMOCO,Myocyte-specific enhancer factor 2B,PF00319,MADS-box,0,curated
tbp,1e3o_C_MA0785.1.jaspar.npz,1e3o,MA0785.1,JASPAR,OCTAMER-BINDING TRANSCRIPTION FACTOR 1,PF00157,Homeodomain (POU),0,intersection
tbp,4l0z_A_RUNX1_MOUSE.H11MO.0.A.npz,4l0z,RUNX1,HOCOMOCO,RUNX1,PF00853,Runt,0,curated
tbp,5emp_A_GCR_HUMAN.H11MO.0.A.npz,5emp,GCR,HOCOMOCO,Glucocorticoid receptor,PF00105,Nuclear receptor (Zn),0,curated
tbp,3wtu_C_ETS1_HUMAN.H11MO.0.A.npz,3wtu,ETS1,HOCOMOCO,Runt-related transcription factor 1,PF00853,ETS,0,curated
tbp,6fj5_A_P53_HUMAN.H11MO.0.A.npz,6fj5,P53,HOCOMOCO,Cellular tumor antigen p53,PF00870,p53-like,0,curated
tbp,6byy_B_MA0660.1.jaspar.npz,6byy,MA0660.1,JASPAR,MEF2 CHIMERA,PF00319,MADS-box,0,curated
tbp,5lty_K_CDX2_HUMAN.H11MO.0.A.npz,5lty,CDX2,HOCOMOCO,Homeobox protein CDX-2,PF00046,Homeodomain,0,curated
tbp,3kov_B_MEF2A_HUMAN.H11MO.0.A.npz,3kov,MEF2A,HOCOMOCO,Myocyte-specific enhancer factor 2A,PF00319,MADS-box,0,curated
tbp,6dks_G_SUH_MOUSE.H11MO.0.A.npz,6dks,SUH,HOCOMOCO,Recombining binding protein suppressor of hairless,PF20144;PF09271;PF09270,CSL/RBPJ,0,curated
tbp,7vuq_A_NFKB2_HUMAN.H11MO.0.B.npz,7vuq,NFKB2,HOCOMOCO,Nuclear factor NF-kappa-B p52 subunit,PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,5emp_B_MA0113.3.jaspar.npz,5emp,MA0113.3,JASPAR,Glucocorticoid receptor,PF00105,Nuclear receptor (Zn),0,curated
tbp,6dfc_A_MA0527.1.jaspar.npz,6dfc,MA0527.1,JASPAR,CTCF,PF00096,C2H2 zinc finger,0,curated
tbp,2evf_A_MA0343.1.jaspar.npz,2evf,MA0343.1,JASPAR,NDT80 protein,PF05224,TBP / β-saddle,1,curated
tbp,7jm4_G_MA1419.1.jaspar.npz,7jm4,MA1419.1,JASPAR,Interferon regulatory factor 4,PF00605,IRF,0,intersection
tbp,7jm4_B_MA1419.1.jaspar.npz,7jm4,MA1419.1,JASPAR,Interferon regulatory factor 4,PF00605,IRF,0,intersection
tbp,6lbi_C_FOXO1_HUMAN.H11MO.0.A.npz,6lbi,FOXO1,HOCOMOCO,Forkhead box protein O1,PF00250,Forkhead,0,curated
tbp,1pzu_L_MA0152.1.jaspar.npz,1pzu,MA0152.1,JASPAR,"Nuclear factor of activated T-cells, cytoplasmic 2",PF00554;PF16179,Rel/NF-κB (RHD),0,curated
tbp,1gu4_A_MA0466.3.jaspar.npz,1gu4,MA0466.3,JASPAR,CAAT/ENHANCER BINDING PROTEIN BETA,PF07716,bZIP,0,curated
tbp,5bng_B_MEIS2_HUMAN.H11MO.0.B.npz,5bng,MEIS2,HOCOMOCO,Homeobox protein Meis2,PF05920,Homeodomain,0,curated
tbp,6od3_E_ITF2_HUMAN.H11MO.0.C.npz,6od3,ITF2,HOCOMOCO,Transcription factor 4,PF00010,bHLH,0,curated
tbp,4r2p_A_WT1_HUMAN.H11MO.0.C.npz,4r2p,WT1,HOCOMOCO,"Wilms tumor protein, isoform 4/CRA_a",PF00096,C2H2 zinc finger,0,curated
tbp,6od3_F_MA0830.2.jaspar.npz,6od3,MA0830.2,JASPAR,Transcription factor 4,PF00010,bHLH,0,intersection
tbp,6fj5_C_P53_HUMAN.H11MO.0.A.npz,6fj5,P53,HOCOMOCO,Cellular tumor antigen p53,PF00870,p53-like,0,curated
tbp,1ram_A_TF65_MOUSE.H11MO.0.A.npz,1ram,TF65,HOCOMOCO,PROTEIN (TRANSCRIPTION FACTOR NF-KB P65),PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,6vg2_A_FLI1_HUMAN.H11MO.0.A.npz,6vg2,FLI1,HOCOMOCO,Friend leukemia integration 1 transcription factor,PF00178,ETS,0,curated
tbp,5vmv_A_KAISO_HUMAN.H11MO.0.A.npz,5vmv,KAISO,HOCOMOCO,ZBTB33/Kaiso,PF00096,C2H2 zinc finger,0,curated
tbp,3v79_C_MA1116.1.jaspar.npz,3v79,MA1116.1,JASPAR,Neurogenic locus notch homolog protein 1,PF00023;PF12796,CSL/RBPJ,0,majority
tbp,7jm4_A_MA1419.1.jaspar.npz,7jm4,MA1419.1,JASPAR,Interferon regulatory factor 4,PF00605,IRF,0,intersection
tbp,5kl3_A_WT1_HUMAN.H11MO.0.C.npz,5kl3,WT1,HOCOMOCO,Wilms tumor protein,PF00096,C2H2 zinc finger,0,curated
tbp,4cn3_D_RXRA_HUMAN.H11MO.0.A.npz,4cn3,RXRA,HOCOMOCO,RETINOIC ACID RECEPTOR RXR-ALPHA,PF00105,Nuclear receptor (Zn),0,curated
tbp,5yef_J_CTCF_HUMAN.H11MO.0.A.npz,5yef,CTCF,HOCOMOCO,Transcriptional repressor CTCF,PF23611;PF00096,C2H2 zinc finger,0,curated
tbp,1pzu_H_NFAC2_HUMAN.H11MO.0.B.npz,1pzu,NFAC2,HOCOMOCO,"Nuclear factor of activated T-cells, cytoplasmic 2",PF00554;PF16179,Rel/NF-κB (RHD),0,curated
tbp,4cn3_C_MA0065.1.jaspar.npz,4cn3,MA0065.1,JASPAR,RETINOIC ACID RECEPTOR RXR-ALPHA,PF00105,Nuclear receptor (Zn),0,curated
tbp,2i9t_B_NFKB1_MOUSE.H11MO.0.A.npz,2i9t,NFKB1,HOCOMOCO,Transcription factor p65,PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,1vkx_B_NFKB1_MOUSE.H11MO.0.A.npz,1vkx,NFKB1,HOCOMOCO,PROTEIN (NF-KAPPA B P65 SUBUNIT),PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,6a8r_A_DUX4_HUMAN.H11MO.0.A.npz,6a8r,DUX4,HOCOMOCO,Double homeobox protein 4,PF00046,Homeodomain,0,curated
tbp,6fbq_A_MA0065.1.jaspar.npz,6fbq,MA0065.1,JASPAR,Retinoic acid receptor RXR-alpha,PF00105,Nuclear receptor (Zn),0,curated
tbp,5kl4_D_WT1_HUMAN.H11MO.0.C.npz,5kl4,WT1,HOCOMOCO,Wilms tumor protein,PF00096,C2H2 zinc finger,0,curated
tbp,1hjb_F_RUNX1_MOUSE.H11MO.0.A.npz,1hjb,RUNX1,HOCOMOCO,CCAAT/ENHANCER BINDING PROTEIN BETA,PF07716,Runt,0,curated
tbp,5kl4_A_WT1_HUMAN.H11MO.0.C.npz,5kl4,WT1,HOCOMOCO,Wilms tumor protein,PF00096,C2H2 zinc finger,0,curated
tbp,3wtw_H_MA0098.3.jaspar.npz,3wtw,MA0098.3,JASPAR,Runt-related transcription factor 1,PF00853,ETS,0,curated
tbp,2i9t_A_TF65_MOUSE.H11MO.0.A.npz,2i9t,TF65,HOCOMOCO,Transcription factor p65,PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,1r0n_A_MA0115.1.jaspar.npz,1r0n,MA0115.1,JASPAR,Retinoic acid receptor RXR-alpha,PF00105,Nuclear receptor (Zn),0,curated
tbp,6mg2_A_CEBPB_HUMAN.H11MO.0.A.npz,6mg2,CEBPB,HOCOMOCO,CCAAT/enhancer-binding protein beta,PF07716,bZIP,0,curated
tbp,2evi_A_MA0343.1.jaspar.npz,2evi,MA0343.1,JASPAR,NDT80 protein,PF05224,TBP / β-saddle,1,curated
tbp,5ke6_A_KLF4_MOUSE.H11MO.0.A.npz,5ke6,KLF4,HOCOMOCO,Krueppel-like factor 4,PF00096,C2H2 zinc finger,0,curated
tbp,6byy_D_MA0660.1.jaspar.npz,6byy,MA0660.1,JASPAR,MEF2 CHIMERA,PF00319,MADS-box,0,curated
tbp,2ady_A_MA0106.3.jaspar.npz,2ady,MA0106.3,JASPAR,Cellular tumor antigen p53,PF00870,p53-like,0,curated
tbp,5und_A_MA1930.1.jaspar.npz,5und,MA1930.1,JASPAR,Transcriptional repressor CTCF,PF23611;PF00096,C2H2 zinc finger,0,curated
tbp,3q05_B_P53_HUMAN.H11MO.0.A.npz,3q05,P53,HOCOMOCO,Cellular tumor antigen p53,PF00870;PF07710,p53-like,0,curated
tbp,5und_B_MA1930.1.jaspar.npz,5und,MA1930.1,JASPAR,Transcriptional repressor CTCF,PF23611;PF00096,C2H2 zinc finger,0,curated
tbp,7oh9_K_MA0386.1.jaspar.npz,7oh9,MA0386.1,JASPAR,Histone H3.2,PF00125,TBP / β-saddle,0,majority
tbp,5lty_M_MA0465.2.jaspar.npz,5lty,MA0465.2,JASPAR,Homeobox protein CDX-2,PF00046,Homeodomain,0,curated
tbp,3coa_C_FOXO1_HUMAN.H11MO.0.A.npz,3coa,FOXO1,HOCOMOCO,Forkhead box protein O1,PF00250,Forkhead,0,curated
tbp,5vmu_A_KAISO_HUMAN.H11MO.0.A.npz,5vmu,KAISO,HOCOMOCO,ZBTB33/Kaiso,PF00096,C2H2 zinc finger,0,curated
tbp,1gu5_A_MA0466.3.jaspar.npz,1gu5,MA0466.3,JASPAR,CAAT/ENHANCER BINDING PROTEIN BETA,PF07716,bZIP,0,curated
tbp,6od3_A_MA0830.2.jaspar.npz,6od3,MA0830.2,JASPAR,Transcription factor 4,PF00010,bHLH,0,intersection
tbp,6lbi_D_FOXO1_HUMAN.H11MO.0.A.npz,6lbi,FOXO1,HOCOMOCO,Forkhead box protein O1,PF00250,Forkhead,0,curated
tbp,3wtw_C_ETS1_HUMAN.H11MO.0.A.npz,3wtw,ETS1,HOCOMOCO,Runt-related transcription factor 1,PF00853,ETS,0,curated
tbp,3wts_C_ETS1_HUMAN.H11MO.0.A.npz,3wts,ETS1,HOCOMOCO,Runt-related transcription factor 1,PF00853,ETS,0,curated
tbp,1a1g_A_MA0162.1.jaspar.npz,1a1g,MA0162.1,JASPAR,DSNR ZINC FINGER PEPTIDE,PF00096,C2H2 zinc finger,0,curated
tbp,2lt7_A_MA0527.1.jaspar.npz,2lt7,MA0527.1,JASPAR,CTCF,PF00096,C2H2 zinc finger,0,curated
tbp,6vg8_A_FLI1_HUMAN.H11MO.0.A.npz,6vg8,FLI1,HOCOMOCO,Friend leukemia integration 1 transcription factor,PF00178,ETS,0,curated
tbp,5hdn_A_HSF1_HUMAN.H11MO.0.A.npz,5hdn,HSF1,HOCOMOCO,Heat shock factor protein 1,PF00447,HSF,0,curated
tbp,5yef_B_MA1930.1.jaspar.npz,5yef,MA1930.1,JASPAR,Transcriptional repressor CTCF,PF23611;PF00096,C2H2 zinc finger,0,curated
tbp,7cli_A_NFKB2_HUMAN.H11MO.0.B.npz,7cli,NFKB2,HOCOMOCO,Nuclear factor NF-kappa-B p52 subunit,PF00554;PF16179,Rel/NF-κB (RHD),0,curated
egr1,4l0z_B_MA0098.3.jaspar.npz,4l0z,MA0098.3,JASPAR,RUNX1,PF00853,ETS,0,curated
egr1,5z2t_D_DUX4_HUMAN.H11MO.0.A.npz,5z2t,DUX4,HOCOMOCO,DUX4,PF00046,Homeodomain,0,curated
egr1,4xrm_B_MEIS2_HUMAN.H11MO.0.B.npz,4xrm,MEIS2,HOCOMOCO,Homeobox protein Meis2,PF05920,Homeodomain,0,curated
egr1,2wty_A_MA0117.2.jaspar.npz,2wty,MA0117.2,JASPAR,TRANSCRIPTION FACTOR MAFB,PF03131,bZIP,0,intersection
egr1,1le8_B_MA0328.2.jaspar.npz,1le8,MA0328.2,JASPAR,HAP1,PF00172,Homeodomain,0,curated
egr1,2euz_A_MA0343.1.jaspar.npz,2euz,MA0343.1,JASPAR,NDT80 protein,PF05224,TBP / β-saddle,0,curated
egr1,1a1j_A_MA0162.1.jaspar.npz,1a1j,MA0162.1,JASPAR,PROTEIN (RADR ZIF268 ZINC FINGER PEPTIDE),PF00096,C2H2 zinc finger,1,curated
egr1,6byy_A_MEF2A_HUMAN.H11MO.0.A.npz,6byy,MEF2A,HOCOMOCO,MEF2 CHIMERA,PF00319,MADS-box,0,curated
egr1,4xrm_A_MEIS2_HUMAN.H11MO.0.B.npz,4xrm,MEIS2,HOCOMOCO,Homeobox protein Meis2,PF05920,Homeodomain,0,curated
egr1,3iag_C_SUH_MOUSE.H11MO.0.A.npz,3iag,SUH,HOCOMOCO,Recombining binding protein suppressor of hairless,PF09271;PF20144;PF09270,CSL/RBPJ,0,curated
egr1,1vkx_A_TF65_MOUSE.H11MO.0.A.npz,1vkx,TF65,HOCOMOCO,PROTEIN (NF-KAPPA B P65 SUBUNIT),PF16179;PF00554,Rel/NF-κB (RHD),0,curated
egr1,3wtu_A_RUNX1_MOUSE.H11MO.0.A.npz,3wtu,RUNX1,HOCOMOCO,Runt-related transcription factor 1,PF00853,Runt,0,curated
egr1,1srs_A_SRF_HUMAN.H11MO.0.A.npz,1srs,SRF,HOCOMOCO,PROTEIN (SERUM RESPONSE FACTOR (SRF)),PF00319,MADS-box,0,curated
egr1,5ke8_A_MA0039.2.jaspar.npz,5ke8,MA0039.2,JASPAR,Krueppel-like factor 4,PF00096,C2H2 zinc finger,0,curated
egr1,3kov_I_MA0052.4.jaspar.npz,3kov,MA0052.4,JASPAR,Myocyte-specific enhancer factor 2A,PF00319,MADS-box,0,curated
egr1,1c7u_A_MEF2A_HUMAN.H11MO.0.A.npz,1c7u,MEF2A,HOCOMOCO,"MYOCYTE-SPECIFIC ENHANCER FACTOR 2A, C4 FORM",PF00319,MADS-box,0,curated
egr1,6vge_A_ERG_HUMAN.H11MO.0.A.npz,6vge,ERG,HOCOMOCO,Transcriptional regulator ERG,PF00178,ETS,0,curated
egr1,2wbu_A_KLF4_MOUSE.H11MO.0.A.npz,2wbu,KLF4,HOCOMOCO,KRUEPPEL-LIKE FACTOR 4,PF00096,C2H2 zinc finger,0,curated
egr1,2evj_A_MA0343.1.jaspar.npz,2evj,MA0343.1,JASPAR,NDT80 protein,PF05224,TBP / β-saddle,0,curated
egr1,6vgg_A_ERG_HUMAN.H11MO.0.A.npz,6vgg,ERG,HOCOMOCO,Transcriptional regulator ERG,PF00178,ETS,0,curated
egr1,2wty_B_MA0117.2.jaspar.npz,2wty,MA0117.2,JASPAR,TRANSCRIPTION FACTOR MAFB,PF03131,bZIP,0,intersection
egr1,2erg_A_MA0324.1.jaspar.npz,2erg,MA0324.1,JASPAR,Regulatory protein LEU3,PF00172,Zn2Cys6 cluster,0,intersection
egr1,6b0q_A_WT1_HUMAN.H11MO.0.C.npz,6b0q,WT1,HOCOMOCO,Wilms tumor protein,PF00096,C2H2 zinc finger,0,curated
egr1,4r2d_A_MA0162.4.jaspar.npz,4r2d,MA0162.4,JASPAR,Early growth response protein 1,PF00096,C2H2 zinc finger,1,curated
egr1,6u81_A_DUX4_HUMAN.H11MO.0.A.npz,6u81,DUX4,HOCOMOCO,Double homeobox protein 4,PF00046,Homeodomain,0,curated
egr1,1a1i_A_MA0162.1.jaspar.npz,1a1i,MA0162.1,JASPAR,RADR ZIF268 ZINC FINGER PEPTIDE,PF00096,C2H2 zinc finger,1,curated
egr1,6lbi_K_FOXO1_HUMAN.H11MO.0.A.npz,6lbi,FOXO1,HOCOMOCO,Forkhead box protein O1,PF00250,Forkhead,0,curated
egr1,6vg2_D_FLI1_HUMAN.H11MO.0.A.npz,6vg2,FLI1,HOCOMOCO,Friend leukemia integration 1 transcription factor,PF00178,ETS,0,curated
egr1,6byy_A_MA0660.1.jaspar.npz,6byy,MA0660.1,JASPAR,MEF2 CHIMERA,PF00319,MADS-box,0,curated
egr1,2e42_A_CEBPB_HUMAN.H11MO.0.A.npz,2e42,CEBPB,HOCOMOCO,CCAAT/enhancer-binding protein beta,PF07716,bZIP,0,curated
egr1,6fj5_D_P53_HUMAN.H11MO.0.A.npz,6fj5,P53,HOCOMOCO,Cellular tumor antigen p53,PF00870,p53-like,0,curated
egr1,5yef_G_MA1930.1.jaspar.npz,5yef,MA1930.1,JASPAR,Transcriptional repressor CTCF,PF23611;PF00096,C2H2 zinc finger,0,curated
egr1,1srs_B_SRF_HUMAN.H11MO.0.A.npz,1srs,SRF,HOCOMOCO,PROTEIN (SERUM RESPONSE FACTOR (SRF)),PF00319,MADS-box,0,curated
egr1,1ram_B_TF65_MOUSE.H11MO.0.A.npz,1ram,TF65,HOCOMOCO,PROTEIN (TRANSCRIPTION FACTOR NF-KB P65),PF16179;PF00554,Rel/NF-κB (RHD),0,curated
egr1,5vpf_B_JUND_HUMAN.H11MO.0.A.npz,5vpf,JUND,HOCOMOCO,Protein fosB,PF00170,bZIP,0,curated
egr1,7cli_B_MA0778.1.jaspar.npz,7cli,MA0778.1,JASPAR,Nuclear factor NF-kappa-B p52 subunit,PF00554;PF16179,Rel/NF-κB (RHD),0,curated
egr1,3gut_D_MA0105.4.jaspar.npz,3gut,MA0105.4,JASPAR,Transcription factor p65,PF00554;PF16179,Rel/NF-κB (RHD),0,curated
