pilot,stage,pdb_id,state,n_iface_res,n_segments,seq_ident,iRMSD_global,iRMSD_seg_max,iRMSD_seg_mean,fnat
csl,stage3,3brg,59,21,6,1.0,2.414,3.061,0.952,0.605
csl,stage3,3brg,60,21,6,1.0,2.843,2.404,0.665,0.558
csl,stage3,3brg,61,21,6,1.0,3.768,2.401,0.858,0.372
csl,stage3,3brg,62,21,6,1.0,2.909,2.433,0.652,0.605
csl,stage3,3brg,63,21,6,1.0,2.787,2.383,0.681,0.581
csl,stage3,3brg,64,21,6,1.0,4.116,2.198,0.854,0.535
csl,stage3,3brg,65,21,6,1.0,2.925,1.783,0.784,0.628
csl,stage3,3brg,67,21,6,1.0,3.877,1.452,0.602,0.512
csl,stage3,3brg,68,21,6,1.0,2.428,2.187,0.814,0.674
csl,stage3,3brg,69,21,6,1.0,3.072,2.053,0.766,0.465
csl,stage3,3brg,70,21,6,1.0,2.698,1.883,0.699,0.698
csl,stage3,3brg,71,21,6,1.0,2.53,2.144,0.723,0.535
csl,stage3,3brg,72,21,6,1.0,2.248,1.962,0.674,0.535
csl,stage3,3brg,73,21,6,1.0,3.555,2.135,0.825,0.465
csl,stage3,3brg,74,21,6,1.0,2.288,1.716,0.518,0.674
csl,stage3,3brg,75,21,6,1.0,2.858,2.137,0.747,0.488
csl,stage3,3brg,76,21,6,1.0,2.342,1.549,0.589,0.581
csl,stage3,3brg,77,21,6,1.0,3.364,2.226,0.658,0.488
csl,stage3,3brg,78,21,6,1.0,2.476,2.403,0.692,0.512
csl,stage3,3brg,79,21,6,1.0,2.936,1.913,0.622,0.488
csl,stage3,3brg,80,21,6,1.0,3.644,2.629,0.754,0.419
csl,stage3,3brg,81,21,6,1.0,2.612,1.644,0.631,0.628
csl,stage3,3brg,82,21,6,1.0,3.379,2.506,0.938,0.558
csl,stage3,3brg,83,21,6,1.0,2.491,2.233,0.826,0.558
csl,stage3,3brg,84,21,6,1.0,2.783,1.831,0.688,0.628
csl,stage3,3brg,85,21,6,1.0,2.867,2.251,0.656,0.605
csl,stage3,3brg,86,21,6,1.0,2.777,2.51,0.693,0.535
csl,stage3,3brg,87,21,6,1.0,2.957,2.134,0.726,0.488
csl,stage3,3brg,89,21,6,1.0,2.866,2.483,0.767,0.488
csl,stage3,3brg,90,21,6,1.0,3.132,1.615,0.736,0.581
csl,stage3,3brg,91,21,6,1.0,3.024,2.107,0.779,0.558
csl,stage3,3brg,92,21,6,1.0,3.107,2.785,0.847,0.535
dux4,stage3,5z6z,1,43,7,1.0,13.39,1.123,0.602,0.125
dux4,stage3,5z6z,2,43,7,1.0,14.614,1.136,0.581,0.15
dux4,stage3,5z6z,3,43,7,1.0,13.151,1.713,0.707,0.212
dux4,stage3,5z6z,4,43,7,1.0,15.037,1.155,0.531,0.15
dux4,stage3,5z6z,5,43,7,1.0,15.797,1.359,0.575,0.1
dux4,stage3,5z6z,6,43,7,1.0,16.193,1.39,0.587,0.1
dux4,stage3,5z6z,7,43,7,1.0,17.622,0.832,0.479,0.062
dux4,stage3,5z6z,8,43,7,1.0,12.87,1.316,0.518,0.2
dux4,stage3,5z6z,9,43,7,1.0,12.91,1.738,0.71,0.225
dux4,stage3,5z6z,10,43,7,1.0,17.075,0.951,0.506,0.125
dux4,stage3,5z6z,11,43,7,1.0,19.611,0.943,0.469,0.075
dux4,stage3,5z6z,12,43,7,1.0,16.769,1.558,0.647,0.075
dux4,stage3,5z6z,13,43,7,1.0,13.95,1.262,0.607,0.237
dux4,stage3,5z6z,14,43,7,1.0,16.822,1.103,0.488,0.125
dux4,stage3,5z6z,15,43,7,1.0,16.785,1.043,0.576,0.125
dux4,stage3,5z6z,16,43,7,1.0,14.422,1.004,0.485,0.113
dux4,stage3,5z6z,17,43,7,1.0,14.073,1.409,0.621,0.212
dux4,stage3,5z6z,18,43,7,1.0,13.981,1.237,0.553,0.163
dux4,stage3,5z6z,19,43,7,1.0,13.854,1.166,0.572,0.2
dux4,stage3,5z6z,20,43,7,1.0,15.047,1.249,0.603,0.15
dux4,stage3,5z6z,21,43,7,1.0,13.208,1.133,0.499,0.225
dux4,stage3,5z6z,22,43,7,1.0,14.876,1.873,0.597,0.175
dux4,stage3,5z6z,23,43,7,1.0,13.701,1.222,0.569,0.138
dux4,stage3,5z6z,24,43,7,1.0,13.979,1.634,0.581,0.163
dux4,stage3,5z6z,25,43,7,1.0,15.175,0.851,0.46,0.075
dux4,stage3,5z6z,26,43,7,1.0,13.16,1.555,0.633,0.275
dux4,stage3,5z6z,27,43,7,1.0,13.381,0.913,0.502,0.225
dux4,stage3,5z6z,29,43,7,1.0,12.671,1.858,0.627,0.263
dux4,stage3,5z6z,30,43,7,1.0,16.563,1.437,0.633,0.1
dux4,stage3,5z6z,31,43,7,1.0,10.493,0.928,0.448,0.312
dux4,stage3,5z6z,32,43,7,1.0,15.637,1.562,0.661,0.138
dux4,stage3,5z6z,33,43,7,1.0,14.089,1.513,0.663,0.138
dux4,stage3,5z6z,34,43,7,1.0,14.127,1.292,0.619,0.163
dux4,stage3,5z6z,35,43,7,1.0,16.448,1.288,0.556,0.175
dux4,stage3,5z6z,36,43,7,1.0,16.206,1.426,0.558,0.15
dux4,stage3,5z6z,37,43,7,1.0,11.712,2.291,0.725,0.35
dux4,stage3,5z6z,38,43,7,1.0,13.648,1.377,0.541,0.188
dux4,stage3,5z6z,39,43,7,1.0,12.154,1.46,0.529,0.263
dux4,stage3,5z6z,40,43,7,1.0,12.384,2.031,0.798,0.3
dux4,stage3,5z6z,41,43,7,1.0,13.686,1.496,0.654,0.175
dux4,stage3,5z6z,42,43,7,1.0,18.962,0.858,0.473,0.125
dux4,stage3,5z6z,43,43,7,1.0,14.174,1.329,0.531,0.175
dux4,stage3,5z6z,44,43,7,1.0,14.406,2.64,0.791,0.1
dux4,stage3,5z6z,45,43,7,1.0,12.263,1.36,0.55,0.25
dux4,stage3,5z6z,46,43,7,1.0,16.382,1.044,0.571,0.1
dux4,stage3,5z6z,47,43,7,1.0,14.74,1.431,0.667,0.2
dux4,stage3,5z6z,48,43,7,1.0,13.8,1.152,0.544,0.2
dux4,stage3,5z6z,49,43,7,1.0,14.084,1.148,0.483,0.163
dux4,stage3,5z6z,50,43,7,1.0,14.231,1.561,0.714,0.237
dux4,stage3,5z6z,51,43,7,1.0,13.146,3.856,1.04,0.287
dux4,stage3,5z6z,52,43,7,1.0,13.623,1.397,0.608,0.163
dux4,stage3,5z6z,53,43,7,1.0,13.783,1.283,0.585,0.175
dux4,stage3,5z6z,54,43,7,1.0,12.428,1.602,0.686,0.275
dux4,stage3,5z6z,55,43,7,1.0,15.001,2.152,0.746,0.087
dux4,stage3,5z6z,56,43,7,1.0,17.247,1.662,0.574,0.1
dux4,stage3,5z6z,57,43,7,1.0,14.943,1.087,0.558,0.2
dux4,stage3,5z6z,58,43,7,1.0,14.888,1.447,0.717,0.15
dux4,stage3,5z6z,59,43,7,1.0,14.655,1.584,0.669,0.15
dux4,stage3,5z6z,60,43,7,1.0,14.239,1.043,0.505,0.125
dux4,stage3,5z6z,61,43,7,1.0,13.301,2.462,0.727,0.237
dux4,stage3,5z6z,62,43,7,1.0,13.96,0.917,0.457,0.237
dux4,stage3,5z6z,63,43,7,1.0,16.115,1.194,0.6,0.125
dux4,stage3,5z6z,64,43,7,1.0,14.428,1.449,0.641,0.163
dux4,stage3,5z6z,65,43,7,1.0,14.95,1.361,0.6,0.138
dux4,stage3,5z6z,66,43,7,1.0,13.953,1.91,0.745,0.163
dux4,stage3,5z6z,67,43,7,1.0,13.105,1.044,0.577,0.25
dux4,stage3,5z6z,68,43,7,1.0,17.098,1.665,0.724,0.125
dux4,stage3,5z6z,69,43,7,1.0,14.6,0.976,0.524,0.15
dux4,stage3,5z6z,70,43,7,1.0,15.227,1.673,0.691,0.2
dux4,stage3,5z6z,71,43,7,1.0,14.273,1.483,0.567,0.138
dux4,stage3,5z6z,72,43,7,1.0,14.192,1.117,0.6,0.188
dux4,stage3,5z6z,73,43,7,1.0,15.565,1.056,0.488,0.15
dux4,stage3,5z6z,74,43,7,1.0,14.801,1.383,0.618,0.125
dux4,stage3,5z6z,75,43,7,1.0,13.564,0.953,0.511,0.175
dux4,stage3,5z6z,76,43,7,1.0,15.633,1.089,0.557,0.062
dux4,stage3,5z6z,77,43,7,1.0,13.167,1.517,0.688,0.2
dux4,stage3,5z6z,78,43,7,1.0,14.174,3.14,0.837,0.175
dux4,stage3,5z6z,79,43,7,1.0,14.582,1.18,0.487,0.125
dux4,stage3,5z6z,80,43,7,1.0,13.83,1.683,0.672,0.175
dux4,stage3,5z6z,81,43,7,1.0,14.738,1.482,0.638,0.15
dux4,stage3,5z6z,82,43,7,1.0,15.563,1.148,0.55,0.113
dux4,stage3,5z6z,83,43,7,1.0,9.788,1.187,0.539,0.362
dux4,stage3,5z6z,84,43,7,1.0,15.241,1.417,0.593,0.1
dux4,stage3,5z6z,85,43,7,1.0,14.428,1.151,0.545,0.113
dux4,stage3,5z6z,86,43,7,1.0,13.598,1.296,0.654,0.15
dux4,stage3,5z6z,87,43,7,1.0,13.251,0.954,0.511,0.113
dux4,stage3,5z6z,88,43,7,1.0,14.829,1.78,0.705,0.062
dux4,stage3,5z6z,89,43,7,1.0,13.806,1.55,0.664,0.125
dux4,stage3,5z6z,90,43,7,1.0,14.809,1.288,0.581,0.188
dux4,stage3,5z6z,92,43,7,1.0,11.617,1.35,0.604,0.287
dux4,stage3,5z6z,93,43,7,1.0,16.708,2.188,0.753,0.075
dux4,stage3,5z6z,94,43,7,1.0,16.459,1.154,0.547,0.163
egr1,stage3,1aay,1,38,6,1.0,0.713,0.299,0.217,0.701
egr1,stage3,1aay,2,38,6,1.0,0.864,0.435,0.251,0.716
egr1,stage3,1aay,3,38,6,1.0,5.739,0.647,0.284,0.209
egr1,stage3,1aay,4,38,6,1.0,4.718,0.531,0.266,0.299
egr1,stage3,1aay,5,38,6,1.0,1.403,0.355,0.246,0.687
egr1,stage3,1aay,6,38,6,1.0,1.141,0.371,0.209,0.701
egr1,stage3,1aay,7,38,6,1.0,1.178,0.302,0.241,0.672
egr1,stage3,1aay,8,38,6,1.0,0.775,0.295,0.23,0.776
egr1,stage3,1aay,9,38,6,1.0,0.866,0.396,0.22,0.701
egr1,stage3,1aay,10,38,6,1.0,0.719,0.313,0.197,0.746
egr1,stage3,1aay,11,38,6,1.0,0.974,0.327,0.232,0.687
egr1,stage3,1aay,12,38,6,1.0,1.352,0.381,0.22,0.701
egr1,stage3,1aay,13,38,6,1.0,1.608,0.393,0.228,0.687
egr1,stage3,1aay,14,38,6,1.0,0.97,0.338,0.21,0.761
egr1,stage3,1aay,15,38,6,1.0,2.348,0.368,0.191,0.463
egr1,stage3,1aay,16,38,6,1.0,1.332,0.336,0.219,0.746
egr1,stage3,1aay,17,38,6,1.0,1.198,0.333,0.207,0.687
egr1,stage3,1aay,18,38,6,1.0,0.775,0.334,0.192,0.746
egr1,stage3,1aay,19,38,6,1.0,1.069,0.397,0.183,0.687
egr1,stage3,1aay,20,38,6,1.0,0.595,0.312,0.22,0.731
egr1,stage3,1aay,21,38,6,1.0,1.161,0.543,0.275,0.716
egr1,stage3,1aay,22,38,6,1.0,0.974,0.333,0.21,0.716
egr1,stage3,1aay,23,38,6,1.0,1.285,0.384,0.218,0.731
egr1,stage3,1aay,24,38,6,1.0,0.77,0.305,0.23,0.731
egr1,stage3,1aay,25,38,6,1.0,1.026,0.428,0.225,0.761
egr1,stage3,1aay,26,38,6,1.0,1.127,0.402,0.211,0.716
egr1,stage3,1aay,27,38,6,1.0,2.566,0.424,0.234,0.687
egr1,stage3,1aay,28,38,6,1.0,1.226,0.336,0.274,0.746
egr1,stage3,1aay,29,38,6,1.0,1.14,0.33,0.198,0.687
egr1,stage3,1aay,30,38,6,1.0,1.402,0.461,0.229,0.746
egr1,stage3,1aay,31,38,6,1.0,1.158,0.442,0.206,0.657
egr1,stage3,1aay,32,38,6,1.0,0.88,0.363,0.256,0.746
egr1,stage3,1aay,33,38,6,1.0,1.917,0.316,0.218,0.537
egr1,stage3,1aay,34,38,6,1.0,1.633,0.367,0.243,0.746
egr1,stage3,1aay,35,38,6,1.0,7.053,0.458,0.288,0.239
egr1,stage3,1aay,36,38,6,1.0,1.165,0.267,0.19,0.687
egr1,stage3,1aay,37,38,6,1.0,0.845,0.4,0.249,0.776
egr1,stage3,1aay,38,38,6,1.0,1.235,0.321,0.247,0.687
egr1,stage3,1aay,39,38,6,1.0,1.111,0.288,0.181,0.657
egr1,stage3,1aay,40,38,6,1.0,1.884,0.422,0.265,0.687
egr1,stage3,1aay,41,38,6,1.0,1.376,0.277,0.171,0.687
egr1,stage3,1aay,42,38,6,1.0,0.865,0.361,0.197,0.791
egr1,stage3,1aay,43,38,6,1.0,1.061,0.324,0.231,0.746
egr1,stage3,1aay,44,38,6,1.0,1.744,0.321,0.252,0.627
egr1,stage3,1aay,45,38,6,1.0,2.768,0.409,0.264,0.567
egr1,stage3,1aay,46,38,6,1.0,0.754,0.337,0.21,0.687
egr1,stage3,1aay,47,38,6,1.0,1.023,0.39,0.205,0.806
egr1,stage3,1aay,48,38,6,1.0,1.62,0.385,0.25,0.672
egr1,stage3,1aay,49,38,6,1.0,2.138,0.414,0.283,0.716
egr1,stage3,1aay,50,38,6,1.0,1.096,0.366,0.224,0.776
egr1,stage3,1aay,51,38,6,1.0,1.03,0.354,0.205,0.791
egr1,stage3,1aay,52,38,6,1.0,1.247,0.339,0.22,0.642
egr1,stage3,1aay,53,38,6,1.0,1.223,0.383,0.233,0.657
egr1,stage3,1aay,54,38,6,1.0,0.64,0.362,0.204,0.836
egr1,stage3,1aay,55,38,6,1.0,0.936,0.439,0.244,0.672
egr1,stage3,1aay,56,38,6,1.0,2.333,0.431,0.204,0.507
egr1,stage3,1aay,57,38,6,1.0,1.527,0.341,0.228,0.731
egr1,stage3,1aay,58,38,6,1.0,0.767,0.362,0.239,0.627
egr1,stage3,1aay,59,38,6,1.0,1.373,0.407,0.227,0.657
egr1,stage3,1aay,60,38,6,1.0,2.321,1.183,0.436,0.657
egr1,stage3,1aay,61,38,6,1.0,2.231,0.506,0.298,0.597
egr1,stage3,1aay,62,38,6,1.0,0.902,0.456,0.23,0.791
egr1,stage3,1aay,63,38,6,1.0,0.981,0.326,0.222,0.657
egr1,stage3,1aay,64,38,6,1.0,1.147,0.319,0.208,0.687
egr1,stage3,1aay,65,38,6,1.0,1.578,0.325,0.185,0.642
egr1,stage3,1aay,66,38,6,1.0,0.96,0.336,0.203,0.672
egr1,stage3,1aay,67,38,6,1.0,0.803,0.354,0.233,0.776
egr1,stage3,1aay,68,38,6,1.0,1.319,0.381,0.233,0.761
egr1,stage3,1aay,69,38,6,1.0,9.779,3.727,0.916,0.09
egr1,stage3,1aay,70,38,6,1.0,4.425,0.533,0.258,0.224
egr1,stage3,1aay,71,38,6,1.0,0.645,0.333,0.227,0.761
egr1,stage3,1aay,72,38,6,1.0,7.699,1.152,0.432,0.164
egr1,stage3,1aay,73,38,6,1.0,0.915,0.363,0.207,0.806
egr1,stage3,1aay,74,38,6,1.0,0.997,0.32,0.202,0.731
egr1,stage3,1aay,75,38,6,1.0,1.653,0.297,0.18,0.567
egr1,stage3,1aay,76,38,6,1.0,1.285,0.402,0.217,0.687
egr1,stage3,1aay,77,38,6,1.0,1.088,0.325,0.182,0.716
egr1,stage3,1aay,78,38,6,1.0,0.953,0.315,0.219,0.731
egr1,stage3,1aay,79,38,6,1.0,2.265,0.341,0.253,0.612
egr1,stage3,1aay,80,38,6,1.0,1.165,0.379,0.221,0.746
egr1,stage3,1aay,81,38,6,1.0,0.869,0.403,0.236,0.731
egr1,stage3,1aay,82,38,6,1.0,10.839,0.865,0.402,0.254
egr1,stage3,1aay,83,38,6,1.0,4.244,1.682,0.467,0.507
egr1,stage3,1aay,84,38,6,1.0,0.765,0.326,0.205,0.761
egr1,stage3,1aay,85,38,6,1.0,1.154,0.335,0.207,0.716
egr1,stage3,1aay,86,38,6,1.0,1.069,0.288,0.182,0.746
egr1,stage3,1aay,87,38,6,1.0,1.609,1.327,0.432,0.716
egr1,stage3,1aay,88,38,6,1.0,1.514,0.298,0.21,0.448
egr1,stage3,1aay,89,38,6,1.0,1.556,0.308,0.214,0.612
egr1,stage3,1aay,90,38,6,1.0,1.603,0.393,0.261,0.731
egr1,stage3,1aay,91,38,6,1.0,1.435,0.295,0.188,0.642
egr1,stage3,1aay,92,38,6,1.0,1.514,0.325,0.189,0.716
egr1,stage3,1aay,93,38,6,1.0,1.116,0.539,0.296,0.687
egr1,stage3,1aay,94,38,6,1.0,1.017,0.347,0.196,0.687
egr1,stage3,1aay,95,38,6,1.0,1.193,0.329,0.196,0.716
egr1,stage3,1aay,96,38,6,1.0,1.224,0.353,0.209,0.687
egr1,stage3,1aay,97,38,6,1.0,1.457,0.414,0.237,0.627
egr1,stage3,1aay,98,38,6,1.0,1.456,0.36,0.221,0.657
engrailed,stage3,3hdd,1,18,4,1.0,1.275,1.011,0.514,0.679
engrailed,stage3,3hdd,2,18,4,1.0,2.878,0.955,0.463,0.607
engrailed,stage3,3hdd,3,18,4,1.0,1.597,0.911,0.527,0.607
engrailed,stage3,3hdd,4,18,4,1.0,1.874,1.681,0.682,0.571
engrailed,stage3,3hdd,5,18,4,1.0,2.65,3.05,0.998,0.714
engrailed,stage3,3hdd,6,18,4,1.0,2.438,2.177,1.134,0.679
engrailed,stage3,3hdd,7,18,4,1.0,2.724,1.998,0.898,0.607
engrailed,stage3,3hdd,8,18,4,1.0,2.763,2.22,1.094,0.607
engrailed,stage3,3hdd,9,18,4,1.0,3.29,2.284,0.914,0.75
engrailed,stage3,3hdd,10,18,4,1.0,2.649,2.939,1.146,0.643
engrailed,stage3,3hdd,11,18,4,1.0,1.606,0.932,0.556,0.536
engrailed,stage3,3hdd,12,18,4,1.0,2.502,1.575,0.724,0.5
engrailed,stage3,3hdd,13,18,4,1.0,1.099,0.95,0.47,0.857
engrailed,stage3,3hdd,14,18,4,1.0,5.052,4.265,1.519,0.357
engrailed,stage3,3hdd,15,18,4,1.0,1.328,1.697,0.632,0.679
engrailed,stage3,3hdd,16,18,4,1.0,1.891,0.65,0.337,0.679
engrailed,stage3,3hdd,17,18,4,1.0,1.478,0.859,0.546,0.786
engrailed,stage3,3hdd,18,18,4,1.0,1.776,1.715,0.703,0.679
engrailed,stage3,3hdd,19,18,4,1.0,2.105,1.231,0.56,0.75
engrailed,stage3,3hdd,20,18,4,1.0,1.382,0.576,0.379,0.75
engrailed,stage3,3hdd,21,18,4,1.0,2.781,0.999,0.571,0.571
engrailed,stage3,3hdd,22,18,4,1.0,1.331,0.855,0.411,0.786
engrailed,stage3,3hdd,23,18,4,1.0,0.885,0.985,0.452,0.679
engrailed,stage3,3hdd,24,18,4,1.0,2.8,3.352,1.038,0.643
engrailed,stage3,3hdd,25,18,4,1.0,2.184,2.435,1.136,0.571
engrailed,stage3,3hdd,26,18,4,1.0,1.508,1.629,0.874,0.679
engrailed,stage3,3hdd,27,18,4,1.0,1.751,1.684,0.824,0.607
engrailed,stage3,3hdd,28,18,4,1.0,0.75,0.528,0.38,0.821
engrailed,stage3,3hdd,29,18,4,1.0,1.559,0.924,0.654,0.571
engrailed,stage3,3hdd,30,18,4,1.0,2.109,2.087,0.813,0.607
engrailed,stage3,3hdd,31,18,4,1.0,1.29,1.594,0.674,0.714
engrailed,stage3,3hdd,32,18,4,1.0,1.474,1.73,0.69,0.75
engrailed,stage3,3hdd,33,18,4,1.0,1.938,1.555,0.83,0.607
engrailed,stage3,3hdd,34,18,4,1.0,2.636,2.265,0.951,0.571
engrailed,stage3,3hdd,35,18,4,1.0,1.24,0.917,0.607,0.75
engrailed,stage3,3hdd,36,18,4,1.0,1.051,0.56,0.409,0.714
engrailed,stage3,3hdd,37,18,4,1.0,2.016,0.824,0.536,0.607
engrailed,stage3,3hdd,38,18,4,1.0,1.753,1.844,0.934,0.571
engrailed,stage3,3hdd,39,18,4,1.0,2.517,2.614,1.076,0.536
engrailed,stage3,3hdd,40,18,4,1.0,2.663,2.299,1.088,0.679
engrailed,stage3,3hdd,41,18,4,1.0,5.012,1.765,0.87,0.357
engrailed,stage3,3hdd,42,18,4,1.0,2.337,2.489,0.826,0.607
engrailed,stage3,3hdd,43,18,4,1.0,1.47,0.841,0.476,0.679
engrailed,stage3,3hdd,44,18,4,1.0,1.831,1.935,0.835,0.571
engrailed,stage3,3hdd,45,18,4,1.0,2.073,1.835,0.907,0.571
engrailed,stage3,3hdd,46,18,4,1.0,1.864,1.905,0.827,0.714
engrailed,stage3,3hdd,47,18,4,1.0,2.396,2.379,1.125,0.714
engrailed,stage3,3hdd,48,18,4,1.0,1.859,1.718,0.911,0.643
engrailed,stage3,3hdd,49,18,4,1.0,2.78,2.592,1.248,0.429
engrailed,stage3,3hdd,50,18,4,1.0,1.462,0.93,0.547,0.643
engrailed,stage3,3hdd,51,18,4,1.0,2.038,2.353,0.924,0.643
engrailed,stage3,3hdd,53,18,4,1.0,1.638,1.563,0.635,0.714
engrailed,stage3,3hdd,54,18,4,1.0,1.101,0.6,0.348,0.857
engrailed,stage3,3hdd,55,18,4,1.0,1.985,1.729,0.761,0.571
engrailed,stage3,3hdd,56,18,4,1.0,1.136,0.763,0.506,0.714
engrailed,stage3,3hdd,57,18,4,1.0,1.259,1.08,0.58,0.714
engrailed,stage3,3hdd,58,18,4,1.0,3.517,3.487,1.522,0.464
engrailed,stage3,3hdd,59,18,4,1.0,2.465,2.584,1.029,0.75
engrailed,stage3,3hdd,60,18,4,1.0,1.735,1.75,0.817,0.536
engrailed,stage3,3hdd,62,18,4,1.0,1.893,1.623,0.944,0.607
engrailed,stage3,3hdd,63,18,4,1.0,0.829,0.61,0.384,0.786
engrailed,stage3,3hdd,64,18,4,1.0,0.845,0.575,0.387,0.821
engrailed,stage3,3hdd,65,18,4,1.0,1.852,1.59,0.757,0.607
engrailed,stage3,3hdd,66,18,4,1.0,2.022,1.549,0.674,0.643
engrailed,stage3,3hdd,67,18,4,1.0,3.64,3.069,1.29,0.643
engrailed,stage3,3hdd,68,18,4,1.0,1.195,0.714,0.478,0.5
engrailed,stage3,3hdd,69,18,4,1.0,1.588,1.863,0.722,0.607
engrailed,stage3,3hdd,70,18,4,1.0,2.233,2.328,0.849,0.5
engrailed,stage3,3hdd,71,18,4,1.0,2.444,2.198,0.892,0.607
engrailed,stage3,3hdd,72,18,4,1.0,1.898,1.694,0.663,0.786
engrailed,stage3,3hdd,73,18,4,1.0,2.517,2.289,0.909,0.607
engrailed,stage3,3hdd,74,18,4,1.0,1.8,1.584,0.581,0.607
engrailed,stage3,3hdd,75,18,4,1.0,2.924,2.554,1.384,0.464
engrailed,stage3,3hdd,76,18,4,1.0,1.247,1.162,0.549,0.679
engrailed,stage3,3hdd,77,18,4,1.0,1.054,1.073,0.565,0.857
engrailed,stage3,3hdd,78,18,4,1.0,3.633,2.806,1.039,0.393
engrailed,stage3,3hdd,79,18,4,1.0,2.753,1.702,0.955,0.464
engrailed,stage3,3hdd,80,18,4,1.0,1.492,1.573,0.715,0.607
engrailed,stage3,3hdd,81,18,4,1.0,0.593,0.613,0.35,0.786
engrailed,stage3,3hdd,82,18,4,1.0,2.533,1.472,0.609,0.679
engrailed,stage3,3hdd,83,18,4,1.0,1.704,1.323,0.641,0.5
engrailed,stage3,3hdd,84,18,4,1.0,2.615,2.685,0.885,0.75
engrailed,stage3,3hdd,85,18,4,1.0,3.334,1.821,1.095,0.464
engrailed,stage3,3hdd,86,18,4,1.0,2.23,1.54,0.889,0.536
engrailed,stage3,3hdd,87,18,4,1.0,2.052,0.821,0.472,0.536
engrailed,stage3,3hdd,88,18,4,1.0,1.379,0.925,0.499,0.714
